,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,4a919f7ea2f65200,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
1,d715fbc6ea0551f8,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
2,e1f6c044f4235462,True,1.0,1.0,1.0,1.0,0.657845058151972,1.0,1.0,1.0,1.0,,,,,,,,,,0.8930765806724913
3,197f2dea642850e7,True,1.0,1.0,1.0,1.0,0.5194992737476111,1.0,1.0,1.0,1.0,,,,,,,,,,0.8498435230461284
4,5421fa2f2e2b4cb13,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.46519456640053675,1.0,0.0,1.0,1.0,0.7078733020001677
5,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7922702742578361,1.0,0.0,1.0,1.0,0.8100844607055738
6,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8032858103539139,1.0,0.0,1.0,0.0,0.6885268157355982
7,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8284857557497756,1.0,0.0,1.0,0.0,0.6964017986718049
8,46ccc7e9752595671,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.7249604470180043,1.0,0.0,1.0,0.0,0.0
9,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.8844784123662117,1.0,0.0,1.0,0.0,0.0
10,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.23235008353343994,1.0,0.0,1.0,1.0,0.6351094011042
11,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.3018203327905865,1.0,0.0,1.0,1.0,0.6568188539970583
12,6b5b128424d5357b0,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6317683628380674,1.0,0.0,1.0,1.0,0.7599276133868961
13,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.04363320882072516,1.0,0.0,1.0,1.0,0.5761353777564766
14,7be779b9f100e6373,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,e2ea1000f4e2d0904,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5423119947721706,1.0,1.0,1.0,1.0,0.8569724983663033
16,0e55c21e09e86d8ba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4784482919236643,1.0,1.0,1.0,1.0,0.8370150912261451
17,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5336586709343927,1.0,1.0,1.0,1.0,0.8542683346669977
18,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
19,18dbdfb5b9fe301f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
20,530edf0e35aa025b6,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
21,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.47481657548183687,1.0,1.0,1.0,0.0,0.7108801798380741
22,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.2035060456293224,1.0,1.0,1.0,0.0,0.6260956392591632
23,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.37557927235219846,1.0,1.0,1.0,0.0,0.679868522610062
24,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
25,bba03402f6222135f,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
26,e3be3af3b3213f65e,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
27,db81ab220d6667266,True,,,,,,,,,,0.0,1.0,1.0,1.0,0.55264779505251,0.0,0.0,1.0,0.0,0.0
28,86cf77209e00173f3,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7302360481330058,1.0,0.0,1.0,0.0,0.6656987650415643
29,1e33e12832b3a171e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8693942676115692,1.0,0.0,1.0,0.0,0.7091857086286154
30,7a574ea5511afe40d,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6634120086766858,1.0,0.0,1.0,0.0,0.6448162527114643
31,2fb3e2d50e23c577b,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.011918298664813963,1.0,0.0,1.0,0.0,0.44122446833275436
32,7e1f129d7bf7e7065,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.47175682551147113,1.0,1.0,1.0,0.0,0.7099240079723348
33,bbc7311ff7a7c3e18,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.366772815115396,1.0,1.0,1.0,0.0,0.6771165047235612
34,50da2cb15a6c805e6,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
35,594f782a45aefdedc,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
36,81742324c5b46cc6f,True,,,,,,,,,,0.0,1.0,1.0,1.0,0.6146460688246688,0.0,0.0,1.0,0.0,0.0
37,0eea2180fbf7c0949,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.032567597557133204,1.0,0.0,1.0,0.0,0.44767737423660414
38,ceb646b2fba95ebf9,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.44064451743609057,1.0,0.0,1.0,1.0,0.7002014116987783
39,d4bddc4246b475541,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5385428848885626,1.0,0.0,1.0,1.0,0.7307946515276758
40,256ffb5e85a521e98,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8508674724627628,1.0,0.0,1.0,0.0,0.7033960851446134
