no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,score,scene_id,variant
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,2b18807eb18b5b7a,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,2b18807eb18b5b7a,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,2b18807eb18b5b7a,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,2b18807eb18b5b7a,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,ab8ba2c089d95321,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,ab8ba2c089d95321,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,ab8ba2c089d95321,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,ab8ba2c089d95321,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,5b57161d8cf15a7b,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,5b57161d8cf15a7b,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,5b57161d8cf15a7b,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,5b57161d8cf15a7b,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,fb88b50e538751cc,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,fb88b50e538751cc,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,fb88b50e538751cc,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,fb88b50e538751cc,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,de66e55f0e165925,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,de66e55f0e165925,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,de66e55f0e165925,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,de66e55f0e165925,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,c15fe843b2515a8a,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,c15fe843b2515a8a,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,c15fe843b2515a8a,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,c15fe843b2515a8a,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,7219a7523ae15415,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,7219a7523ae15415,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,7219a7523ae15415,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,7219a7523ae15415,source_decay
1.0,1.0,1.0,1.0,0.9835488442177257,1.0,1.0,1.0,1.0,[0.98354884 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.9941245872206164,0.8698590138180393,abb5f15d8ea25930,raw
1.0,1.0,1.0,1.0,0.9481645770859377,1.0,1.0,1.0,1.0,[0.94816458 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.9814873489592635,0.8588014303393555,abb5f15d8ea25930,clamped
1.0,1.0,1.0,1.0,0.7357333634046362,1.0,1.0,1.0,1.0,[0.73573336 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.9056190583587986,0.7924166760639488,abb5f15d8ea25930,hard_veto
1.0,1.0,1.0,1.0,0.8561240301613892,1.0,1.0,1.0,1.0,[0.85612403 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.948615725057639,0.8300387594254341,abb5f15d8ea25930,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,40343a35e713543d,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,40343a35e713543d,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,40343a35e713543d,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,40343a35e713543d,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,f2a9754553935dce,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,f2a9754553935dce,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,f2a9754553935dce,hard_veto
