no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,score,scene_id,variant
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,2b18807eb18b5b7a,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,ab8ba2c089d95321,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,5b57161d8cf15a7b,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,fb88b50e538751cc,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,de66e55f0e165925,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,c15fe843b2515a8a,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,7219a7523ae15415,clamped
1.0,1.0,1.0,1.0,0.9481645770859377,1.0,1.0,1.0,1.0,[0.94816458 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.9814873489592635,0.8588014303393555,abb5f15d8ea25930,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,40343a35e713543d,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,f2a9754553935dce,clamped
1.0,1.0,1.0,1.0,0.875757344596626,1.0,1.0,1.0,1.0,[0.87575734 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.9556276230702235,0.8361741701864456,ccc0e77d6d30565d,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,fa7f471f19aa5806,clamped
1.0,1.0,1.0,1.0,0.9169857327409526,1.0,1.0,1.0,1.0,[0.91698573 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.8274949045503401,0.8490580414815476,68097b10029d5fe1,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,d4ee520d84b45d75,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,015cd7e94fdf5b4d,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,3882352a432a5711,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,e2cbfe7669725f1d,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,9a1e60e1ea62564b,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,790577c502ce59cd,clamped
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,15c97fc3487d5c57,clamped
