no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,score,scene_id,variant
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,2b18807eb18b5b7a,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,ab8ba2c089d95321,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,5b57161d8cf15a7b,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,fb88b50e538751cc,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,de66e55f0e165925,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,c15fe843b2515a8a,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,7219a7523ae15415,raw
1.0,1.0,1.0,1.0,0.9835488442177257,1.0,1.0,1.0,1.0,[0.98354884 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.9941245872206164,0.8698590138180393,abb5f15d8ea25930,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,40343a35e713543d,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,f2a9754553935dce,raw
1.0,1.0,1.0,1.0,0.9088157144531361,1.0,1.0,1.0,1.0,[0.90881571 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.967434183733263,0.8465049107666051,ccc0e77d6d30565d,raw
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.0,fa7f471f19aa5806,raw
1.0,1.0,1.0,1.0,0.9516357096737545,1.0,1.0,1.0,1.0,[0.95163571 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.8398698963120551,0.8598861592730482,68097b10029d5fe1,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,d4ee520d84b45d75,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,015cd7e94fdf5b4d,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,3882352a432a5711,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,e2cbfe7669725f1d,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,9a1e60e1ea62564b,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,790577c502ce59cd,raw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,15c97fc3487d5c57,raw
