no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,score,scene_id,variant
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,2b18807eb18b5b7a,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,ab8ba2c089d95321,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,5b57161d8cf15a7b,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,fb88b50e538751cc,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,de66e55f0e165925,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,c15fe843b2515a8a,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,7219a7523ae15415,hard_veto
1.0,1.0,1.0,1.0,0.7357333634046362,1.0,1.0,1.0,1.0,[0.73573336 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.9056190583587986,0.7924166760639488,abb5f15d8ea25930,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,40343a35e713543d,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,f2a9754553935dce,hard_veto
1.0,1.0,1.0,1.0,0.6774061255999263,1.0,1.0,1.0,1.0,[0.67740613 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.8847879019999737,0.774189414249977,ccc0e77d6d30565d,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,fa7f471f19aa5806,hard_veto
1.0,1.0,1.0,1.0,0.709085718422586,1.0,1.0,1.0,1.0,[0.70908572 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.7532448994366379,0.7840892870070582,68097b10029d5fe1,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,d4ee520d84b45d75,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,015cd7e94fdf5b4d,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,3882352a432a5711,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,e2cbfe7669725f1d,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,9a1e60e1ea62564b,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,790577c502ce59cd,hard_veto
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,15c97fc3487d5c57,hard_veto
