no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,score,scene_id,variant
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,2b18807eb18b5b7a,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,ab8ba2c089d95321,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,5b57161d8cf15a7b,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,fb88b50e538751cc,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,de66e55f0e165925,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,c15fe843b2515a8a,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,7219a7523ae15415,source_decay
1.0,1.0,1.0,1.0,0.8561240301613892,1.0,1.0,1.0,1.0,[0.85612403 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.948615725057639,0.8300387594254341,abb5f15d8ea25930,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,40343a35e713543d,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,f2a9754553935dce,source_decay
1.0,1.0,1.0,1.0,0.7898051065039438,1.0,1.0,1.0,1.0,[0.78980511 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.92493039517998,0.8093140957824825,ccc0e77d6d30565d,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,fa7f471f19aa5806,source_decay
1.0,1.0,1.0,1.0,0.8268958356069078,1.0,1.0,1.0,1.0,[0.82689584 1.         1.         1.         0.        ],[5. 5. 2. 2. 2.],0.7953199412881814,0.8209049486271587,68097b10029d5fe1,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],0.0,0.875,d4ee520d84b45d75,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,015cd7e94fdf5b4d,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,3882352a432a5711,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,e2cbfe7669725f1d,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,9a1e60e1ea62564b,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,790577c502ce59cd,source_decay
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[1. 1. 1. 1. 0.],[5. 5. 2. 2. 2.],1.0,0.875,15c97fc3487d5c57,source_decay
